text,likes,platform,num_palabras
بالتوفيق بإذن الله,1.0,Instagram,3
Chega logoooo 🇮🇱,1.0,Instagram,3
جارتي الشيعية,1.0,Instagram,2
فعلاً انها كيكه صحيه,1.0,Instagram,4
"الزعتر ريحته بتحكي عنه..
كيف اللي بذوق الطعم..
ادماااان ..بشهي..💜",1.0,Instagram,10
Lindo e emocionante 🙏🏼,1.0,Instagram,4
Caiu um cisco no meu olho 😢,2.0,Instagram,7
😍,2.0,Instagram,1
Petra is like out of a fairytale. I would love to visit it 😍,2.0,Instagram,14
@juliana_cosenza “eyesores like the Boulevard” tea,1.0,Instagram,6
Absolutely agree with you 👋👏👏👏👏👏This is so charming place ❤️📸Enchanted!,1.0,Instagram,10
🔥🔥,1.0,Instagram,1
Dope as can be 🔥,1.0,Instagram,5
Awesome 😍,1.0,Instagram,2
"Hello dear, I want to thank you for the beneficial info about sea bands. I used it yesterday when travelling on the plane n helped a lot👍👍",1.0,Instagram,27
Jamalek❤️,1.0,Instagram,1
😍,1.0,Instagram,1
🙌🙌🙌,1.0,Instagram,1
بتجنننن نور اعطيني سنابك,1.0,Instagram,4
🤲🕊🦋😔,1.0,Instagram,1
👏👏👏,1.0,Instagram,1
@baraa_alkhateb,1.0,Instagram,1
And we STILL don’t have universal healthcare or payed family leave. Some bs!,7.0,Instagram,13
عاشت ايدج كلش حلوو 😍😍,1.0,Instagram,5
مراجعة موفقة👏👏,1.0,Instagram,2
ربي يحفظك اخوي,1.0,Instagram,3
This looks amazing! ❤️,1.0,Instagram,4
More provinces please!,1.0,Instagram,3
Hot Hot🔥🔥🔥,1.0,Instagram,2
Full of passion🖼️❤️✨,1.0,Instagram,3
Beautiful colors 🙌🙌,1.0,Instagram,3
🙌👏👏👏,1.0,Instagram,1
Beautiful ❤️,1.0,Instagram,2
هدول تعون العررايس بكون معهم في بيتنا عروس الي ثمنهم 8 دنانير,1.0,Instagram,12
😍❤❤,1.0,Instagram,1
❤️❤️,1.0,Instagram,1
🔥🔥❤️,1.0,Instagram,1
😍 😍,1.0,Instagram,2
😍😍😍😍😍,1.0,Instagram,1
Excelente Pastor @rubenssouzaalvomaior,2.0,Instagram,3
أحببب صوتجج شگدد اسمعه ماا أمل واللهي 😭🫂❤️‍🩹,2.0,Instagram,8
The packaging is stunning😍,1.0,Instagram,4
Wow! Amazing!,1.0,Instagram,2
"But then again, The US probably never had in mind to stabilize and rebuild anyways…
@derekhudsonphoto Amazing life glimpses/images as usual!!",1.0,Instagram,21
